node Id source	node Id dst	edge hierarchical prop
1	2	same
2	1	same
3	2	same
2	3	same
1	4	same
4	1	same
5	4	same
4	5	same
1	5	same
5	1	same
5	1	same
1	5	same
6	4	lower
4	6	higher
7	4	same
4	7	same
5	8	same
8	5	same
9	8	same
8	9	same
5	9	same
9	5	same
9	5	same
5	9	same
10	8	same
8	10	same
5	11	same
11	5	same
9	11	same
11	9	same
12	11	same
11	12	same
5	9	same
9	5	same
5	12	same
12	5	same
9	5	same
5	9	same
9	12	same
12	9	same
12	5	same
5	12	same
12	9	same
9	12	same
13	11	lower
11	13	higher
14	11	same
11	14	same
5	15	same
15	5	same
16	15	same
15	16	same
5	17	same
17	5	same
18	17	same
17	18	same
5	18	same
18	5	same
18	5	same
5	18	same
19	17	lower
17	19	higher
20	17	same
17	20	same
5	21	same
21	5	same
22	21	same
21	22	same
5	23	same
23	5	same
5	23	same
23	5	same
24	23	lower
23	24	higher
25	23	same
23	25	same
5	26	same
26	5	same
27	26	same
26	27	same
5	28	same
28	5	same
5	28	same
28	5	same
24	28	lower
28	24	higher
29	28	same
28	29	same
5	30	same
30	5	same
31	30	same
30	31	same
5	32	same
32	5	same
33	32	same
32	33	same
5	33	same
33	5	same
33	5	same
5	33	same
34	32	same
32	34	same
5	35	same
35	5	same
33	35	same
35	33	same
36	35	same
35	36	same
37	35	same
35	37	same
38	35	same
35	38	same
39	35	same
35	39	same
40	35	same
35	40	same
41	35	same
35	41	same
42	35	same
35	42	same
5	33	same
33	5	same
5	36	same
36	5	same
5	37	same
37	5	same
5	38	same
38	5	same
5	39	same
39	5	same
5	40	same
40	5	same
5	41	same
41	5	same
5	42	same
42	5	same
33	5	same
5	33	same
33	36	same
36	33	same
33	37	same
37	33	same
33	38	same
38	33	same
33	39	same
39	33	same
33	40	same
40	33	same
33	41	same
41	33	same
33	42	same
42	33	same
36	5	same
5	36	same
36	33	same
33	36	same
36	37	same
37	36	same
36	38	same
38	36	same
36	39	same
39	36	same
36	40	same
40	36	same
36	41	same
41	36	same
36	42	same
42	36	same
37	5	same
5	37	same
37	33	same
33	37	same
37	36	same
36	37	same
37	38	same
38	37	same
37	39	same
39	37	same
37	40	same
40	37	same
37	41	same
41	37	same
37	42	same
42	37	same
38	5	same
5	38	same
38	33	same
33	38	same
38	36	same
36	38	same
38	37	same
37	38	same
38	39	same
39	38	same
38	40	same
40	38	same
38	41	same
41	38	same
38	42	same
42	38	same
39	5	same
5	39	same
39	33	same
33	39	same
39	36	same
36	39	same
39	37	same
37	39	same
39	38	same
38	39	same
39	40	same
40	39	same
39	41	same
41	39	same
39	42	same
42	39	same
40	5	same
5	40	same
40	33	same
33	40	same
40	36	same
36	40	same
40	37	same
37	40	same
40	38	same
38	40	same
40	39	same
39	40	same
40	41	same
41	40	same
40	42	same
42	40	same
41	5	same
5	41	same
41	33	same
33	41	same
41	36	same
36	41	same
41	37	same
37	41	same
41	38	same
38	41	same
41	39	same
39	41	same
41	40	same
40	41	same
41	42	same
42	41	same
42	5	same
5	42	same
42	33	same
33	42	same
42	36	same
36	42	same
42	37	same
37	42	same
42	38	same
38	42	same
42	39	same
39	42	same
42	40	same
40	42	same
42	41	same
41	42	same
43	35	same
35	43	same
5	44	same
44	5	same
33	44	same
44	33	same
36	44	same
44	36	same
37	44	same
44	37	same
38	44	same
44	38	same
39	44	same
44	39	same
40	44	same
44	40	same
41	44	same
44	41	same
42	44	same
44	42	same
1	44	same
44	1	same
5	33	same
33	5	same
5	36	same
36	5	same
5	37	same
37	5	same
5	38	same
38	5	same
5	39	same
39	5	same
5	40	same
40	5	same
5	41	same
41	5	same
5	42	same
42	5	same
5	1	same
1	5	same
33	5	same
5	33	same
33	36	same
36	33	same
33	37	same
37	33	same
33	38	same
38	33	same
33	39	same
39	33	same
33	40	same
40	33	same
33	41	same
41	33	same
33	42	same
42	33	same
